URL,Final URL,Redirected,Status,Template,Blocks,Integrations,Complexity,Migration Method
https://www.dentsplysirona.com/en/company/careers/perks-benefits.html,https://www.dentsplysirona.com/en/company/careers/perks-benefits.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/careers/recruitment-process.html,https://www.dentsplysirona.com/en/company/careers/recruitment-process.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/newsroom.html,https://www.dentsplysirona.com/en/company/newsroom.html,no,200,Basic Content Page,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/our-company.html,https://www.dentsplysirona.com/en/company/our-company.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/our-company/compliance-ethics.html,https://www.dentsplysirona.com/en/company/our-company/compliance-ethics.html,no,200,Basic Content Page,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/our-company/history.html,https://www.dentsplysirona.com/en/company/our-company/history.html,no,200,Basic Content Page,"List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/our-company/innovation.html,https://www.dentsplysirona.com/en/company/our-company/innovation.html,no,200,Basic Content Page,"Carousel, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,Low,Automated
https://www.dentsplysirona.com/en/company/our-sustainability.html,https://www.dentsplysirona.com/en/why-ds/our-company/sustainability.html,yes,200,Explore / Category Landing,"Hero, Teaser, Step, Cards, Banner, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/cookie-settings.html,https://www.dentsplysirona.com/en/cookie-settings,yes,200,Explore / Category Landing,"Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
https://www.dentsplysirona.com/en/customer-support.html,https://www.dentsplysirona.com/en/support,yes,200,Explore / Category Landing,"Hero, Teaser, Accordion, Cards, Embed, List, Search",Adobe DTM / Launch; Adobe Scene7 / Dynamic Media; SAP Hybris Commerce; Commerce GraphQL API; Coveo Search; reCAPTCHA; OneTrust; Google Fonts,High,Manual
